smiles,source_canonical_id,source_standardized_smiles
*c1c(O)oc(O)c1CC(*)c1ccccc1,ru_003230,*CC(c1ccccc1)c1c(O)oc(O)c1*
*c1c(OC(=O)Oc2ccc3ccccc3c2*)ccc2ccccc12,ru_008817,*Oc1ccc2ccccc2c1-c1c(OC(*)=O)ccc2ccccc12
*c1c(OC(=O)c2ccc(C(=O)Oc3ccc4ccccc4c3*)cc2)ccc2ccccc12,ru_008818,*Oc1ccc2ccccc2c1-c1c(OC(=O)c2ccc(C(*)=O)cc2)ccc2ccccc12
*c1c(OC(=O)c2ccc(N3C(=O)c4ccc(C(=O)Oc5ccc6ccccc6c5-c5c(OC(=O)c6ccc7c(c6)C(=O)N(c6ccc(C(=O)Oc8ccc9ccccc9c8*)cc6)C7=O)ccc6ccccc56)cc4C3=O)cc2)ccc2ccccc12,ru_000624,*C(=O)Oc1ccc2ccccc2c1-c1c(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc5ccccc5c4-c4c(OC(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)ccc5ccccc45)cc2)C3=O)ccc2ccccc12
*c1c(OC(=O)c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(c5ccc(C(=O)Oc7ccc8ccccc8c7*)cc5)C6=O)cc4C3=O)cc2)ccc2ccccc12,ru_000883,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Oc3ccc4ccccc4c3-c3c(OC(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)ccc4ccccc34)cc1)C2=O
*c1c(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc5ccccc5c4-c4c(OC(=O)c5ccc(N6C(=O)c7ccc(C(=O)Oc8ccc9ccccc9c8*)cc7C6=O)cc5)ccc5ccccc45)cc2)C3=O)ccc2ccccc12,ru_000624,*C(=O)Oc1ccc2ccccc2c1-c1c(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc5ccccc5c4-c4c(OC(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)ccc5ccccc45)cc2)C3=O)ccc2ccccc12
*c1c(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)Oc7ccc8ccccc8c7*)cc6C5=O)cc4)cc2)C3=O)ccc2ccccc12,ru_000625,*C(=O)Oc1ccc2ccccc2c1-c1c(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)ccc2ccccc12
*c1c(OC(=O)c2cccc(C(=O)Oc3ccc4ccccc4c3*)c2)ccc2ccccc12,ru_008822,*Oc1ccc2ccccc2c1-c1c(OC(=O)c2cccc(C(*)=O)c2)ccc2ccccc12
*c1c(Oc2ccc(-c3ccc(Oc4ccc5ccccc5c4*)c4ccccc34)c3ccccc23)ccc2ccccc12,ru_008053,*Oc1ccc(-c2ccc(Oc3ccc4ccccc4c3-c3c(*)ccc4ccccc34)c3ccccc23)c2ccccc12
*c1c(Oc2ccc(N3C(=O)c4ccc(NC(=O)Nc5ccc(-c6cc(-c7ccc(-c8ccccc8)cc7)cc(-c7ccc(NC(=O)Nc8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11ccccc%11c%10*)cc8)C9=O)cc7)n6)cc5)cc4C3=O)cc2)ccc2ccccc12,ru_006197,*Nc1ccc(-c2cc(-c3ccc(-c4ccccc4)cc3)cc(-c3ccc(NC(=O)Nc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc7ccccc7c6-c6c(Oc7ccc(N8C(=O)c9ccc(NC(*)=O)cc9C8=O)cc7)ccc7ccccc67)cc4)C5=O)cc3)n2)cc1
*c1c(Oc2ccc(N3C(=O)c4ccc(NC(=O)Nc5ccc(Oc6ccc(NC(=O)Nc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc%10ccccc%10c9*)cc7)C8=O)cc6)cc5)cc4C3=O)cc2)ccc2ccccc12,ru_006565,*Nc1ccc(Oc2ccc(NC(=O)Nc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc6ccccc6c5-c5c(Oc6ccc(N7C(=O)c8ccc(NC(*)=O)cc8C7=O)cc6)ccc6ccccc56)cc3)C4=O)cc2)cc1
